timestamp,cpu_seconds,pm_bytes,ws_bytes
2025-11-13T01:11:43,3.875,40755200,41955328
2025-11-13T01:11:48,3.875,40755200,41955328
2025-11-13T01:11:53,3.875,40755200,41955328
2025-11-13T01:11:58,3.875,40755200,41955328
2025-11-13T01:12:03,3.875,40755200,41955328
2025-11-13T01:12:08,3.875,40755200,41955328
2025-11-13T01:12:13,3.875,40755200,41955328
2025-11-13T01:12:18,3.875,40755200,41955328
2025-11-13T01:12:23,3.875,40755200,41955328
2025-11-13T01:12:28,3.875,40755200,41955328
2025-11-13T01:12:33,3.875,40755200,41955328
2025-11-13T01:12:38,3.875,40755200,41951232
2025-11-13T01:12:43,System.Object[],System.Object[],System.Object[]
2025-11-13T01:12:48,System.Object[],System.Object[],System.Object[]
2025-11-13T01:12:53,System.Object[],System.Object[],System.Object[]
2025-11-13T01:12:58,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:03,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:08,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:13,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:18,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:23,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:28,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:33,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:38,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:43,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:48,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:53,System.Object[],System.Object[],System.Object[]
2025-11-13T01:13:58,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:03,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:08,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:13,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:18,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:23,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:28,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:33,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:38,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:43,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:48,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:53,System.Object[],System.Object[],System.Object[]
2025-11-13T01:14:58,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:03,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:08,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:13,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:18,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:23,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:28,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:33,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:38,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:43,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:48,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:53,System.Object[],System.Object[],System.Object[]
2025-11-13T01:15:58,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:03,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:08,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:13,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:18,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:23,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:28,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:33,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:38,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:43,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:48,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:53,System.Object[],System.Object[],System.Object[]
2025-11-13T01:16:58,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:03,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:08,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:13,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:18,System.Object[],System.Object[],System.Object[]
